#{"t_start": 1617658402.3797486, "env_id": "JSBSim-Heading2ControlTask-F16-v0"}
r,l,t
540.0,54,0.093724
1320.0,132,1.093659
400.0,40,1.59362
400.0,40,2.093587
400.0,40,2.577926
400.0,40,3.01541
400.0,40,3.452864
400.0,40,3.890324
400.0,40,4.35904
400.0,40,4.796509
400.0,40,5.233977
400.0,40,5.796455
400.0,40,6.2964
400.0,40,6.7495
400.0,40,7.280705
400.0,40,7.749419
400.0,40,8.249389
400.0,40,8.733727
400.0,40,9.18682
400.0,40,9.671168
400.0,40,10.20237
400.0,40,10.749202
400.0,40,11.249166
400.0,40,11.749129
400.0,40,12.280348
400.0,40,12.749062
400.0,40,13.24902
400.0,40,13.795855
400.0,40,14.264571
400.0,40,14.795786
400.0,40,15.373867
400.0,40,15.87383
400.0,40,16.467543
400.0,40,16.951877
400.0,40,17.498711
400.0,40,17.983052
400.0,40,18.467391
400.0,40,18.920488
400.0,40,19.436071
400.0,40,19.904786
400.0,40,20.389125
400.0,40,20.857848
400.0,40,21.310941
400.0,40,21.826529
400.0,40,22.295245
400.0,40,22.76396
400.0,40,23.2483
400.0,40,23.71701
400.0,40,24.326341
400.0,40,24.826304
400.0,40,25.357522
400.0,40,26.013717
400.0,40,26.529321
400.0,40,26.998028
400.0,40,27.497991
400.0,40,28.013573
400.0,40,28.560417
400.0,40,29.044747
400.0,40,29.560335
400.0,40,30.075931
400.0,40,30.654006
400.0,40,31.216483
400.0,40,31.685189
400.0,40,32.169521
400.0,40,32.685109
